DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
,7111-08,Specialized Vehicles Rental,تأجير المركبات المتخصصة,Service,Includes firms engaged in renting specialized motor vehicles without drivers.,No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-09,Racing Cars Rental,تأجير سيارات السباق,Service,Includes renting different racing cars without drivers to be exclusively restricted to racing tracks.,No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-11,Bicycles Rental,تأجير الدراجات الهوائية,Service,"Includes firms engaged in renting bicycles, fitted with two wheels or more, non-motorized, and are intended for leisure and sports use.",No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-12,Off Road Motorcycles Rental,تأجير الدراجات النارية الترفيهية,Service,"Includes firms licensed to engage in renting recreational motorbikes, with two wheels or more, fitted with motors, but not designed as vehicles or karts and are intended for mountains and off road use.",No,Retail Shop,No Restriction,,"50,000 AED per company",Roads and Transport Authority,
Automotive Transportation,7111-14,Trikke Scooters Rental,تأجير الدراجات الكهربائية,Service,Includes renting the three-wheeled electric scooters equipped with battery to produce power.,No,Retail Shop,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",7122-01,Construction Equipment & Machinery Rental,تأجير معدات وآليات التشييد والبناء,Service,"Includes renting building and construction equipment for excavating, filling, demolition, earth leveling, road paving, cement mixing equipment and machinery, as well as cranes, elevators and heavy objects lifts.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",7122-03,"Pumps, Engines & Generators Rental",تأجير المضخات والمحركات والمولدات,Service,"Includes renting and leasing pumps for water and liquids pumping, engines and machines for ships, boats, vehicles, also machinery for industrial operation, the generators which convert the electrical energy into mechanical energy to operate machinery",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",7122-05,Heavy Machinery & Equipment Rental,تأجير الآلات والمعدات الثقيلة,Service,"Includes renting and leasing heavy and industrial machinery and equipment used for handling, refrigeration, air purifying, metal cutting and forming, food, beverage, and tobacco processing, textile apparel and leather production, lifts, escalators, boilers, central kitchens, automatic washing equipment, electric generators, water pumps.",No,Any Type,No Restriction,,"50,000 AED per company",,
"Construction, Engineering & Machinery",7129-02,Extracting & Drilling Equipment & Machinery Rental,تأجير آلات ومعدات استخراج الثروة الطبيعية,Service,"Includes renting and leasing equipment for the extraction of minerals occurring naturally, involving extraction of crude petroleum and natural gas as well as the mining and quarrying.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Community Services,7129-04,Film Equipment Rental,تأجير معدات تصوير الافلام,Service,"Includes firms engaged in renting filming movies and television materials, including cameras, equipment for lighting and sound, cranes and dollies, grips, smoke machines, special effects devices.",No,Any Type,No Restriction,,"50,000 AED per company",,
